Field_Set,Field,Type,Example,Description
threat,threat.enrichments.indicator.x509.public_key_exponent,long,65537,Exponent used to derive the public key. This is algorithm specific.
threat,threat.enrichments.indicator.x509.public_key_size,long,2048,The size of the public key space in bits.
threat,threat.enrichments.indicator.x509.serial_number,keyword,55FBB9C7DEBF09809D12CCAA,Unique serial number issued by the certificate authority.
threat,threat.enrichments.indicator.x509.signature_algorithm,keyword,SHA256-RSA,Identifier for certificate signature algorithm.
threat,threat.enrichments.indicator.x509.subject.common_name,keyword,shared.global.example.net,List of common names (CN) of subject.
threat,threat.enrichments.indicator.x509.subject.country,keyword,US,List of country \(C) code
threat,threat.enrichments.indicator.x509.subject.distinguished_name,keyword,"C=US, ST=California, L=San Francisco, O=Example, Inc., CN=shared.global.example.net",Distinguished name (DN) of the certificate subject entity.
threat,threat.enrichments.indicator.x509.subject.locality,keyword,San Francisco,List of locality names (L)
threat,threat.enrichments.indicator.x509.subject.organization,keyword,"Example, Inc.",List of organizations (O) of subject.
threat,threat.enrichments.indicator.x509.subject.organizational_unit,keyword,,List of organizational units (OU) of subject.
threat,threat.enrichments.indicator.x509.subject.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
threat,threat.enrichments.indicator.x509.version_number,keyword,3,Version of x509 format.
threat,threat.enrichments.matched.atomic,keyword,bad-domain.com,Matched indicator value
threat,threat.enrichments.matched.field,keyword,file.hash.sha256,Matched indicator field
threat,threat.enrichments.matched.id,keyword,ff93aee5-86a1-4a61-b0e6-0cdc313d01b5,Matched indicator identifier
threat,threat.enrichments.matched.index,keyword,filebeat-8.0.0-2021.05.23-000011,Matched indicator index
threat,threat.enrichments.matched.occurred,date,2021-10-05T17:00:58.326Z,Date of match
threat,threat.enrichments.matched.type,keyword,indicator_match_rule,Type of indicator match
threat,threat.feed.dashboard_id,keyword,5ba16340-72e6-11eb-a3e3-b3cc7c78a70f,Feed dashboard ID.
threat,threat.feed.description,keyword,Threat feed from the AlienVault Open Threat eXchange network.,Description of the threat feed.
threat,threat.feed.name,keyword,AlienVault OTX,Name of the threat feed.
threat,threat.feed.reference,keyword,https://otx.alienvault.com,Reference for the threat feed.
threat,threat.framework,keyword,MITRE ATT&CK,Threat classification framework.
threat,threat.group.alias,keyword,"[ ""Magecart Group 6"" ]",Alias of the group.
threat,threat.group.id,keyword,G0037,ID of the group.
threat,threat.group.name,keyword,FIN6,Name of the group.
threat,threat.group.reference,keyword,https://attack.mitre.org/groups/G0037/,Reference URL of the group.
threat,threat.indicator.as.number,long,15169,Unique number allocated to the autonomous system.
threat,threat.indicator.as.organization.name,keyword,Google LLC,Organization name.
threat,threat.indicator.as.organization.name.text,match_only_text,Google LLC,Organization name.
threat,threat.indicator.confidence,keyword,Medium,Indicator confidence rating
threat,threat.indicator.description,keyword,IP x.x.x.x was observed delivering the Angler EK.,Indicator description
threat,threat.indicator.email.address,keyword,phish@example.com,Indicator email address
threat,threat.indicator.file.accessed,date,,Last time the file was accessed.
threat,threat.indicator.file.attributes,keyword,"[""readonly"", ""system""]",Array of file attributes.
threat,threat.indicator.file.code_signature.digest_algorithm,keyword,sha256,Hashing algorithm used to sign the process.
threat,threat.indicator.file.code_signature.exists,boolean,TRUE,Boolean to capture if a signature is present.
threat,threat.indicator.file.code_signature.flags,keyword,570522385,Code signing flags of the process
threat,threat.indicator.file.code_signature.signing_id,keyword,com.apple.xpc.proxy,The identifier used to sign the process.
threat,threat.indicator.file.code_signature.status,keyword,ERROR_UNTRUSTED_ROOT,Additional information about the certificate status.
threat,threat.indicator.file.code_signature.subject_name,keyword,Microsoft Corporation,Subject name of the code signer
threat,threat.indicator.file.code_signature.team_id,keyword,EQHXZ8M8AV,The team identifier used to sign the process.
threat,threat.indicator.file.code_signature.timestamp,date,2021-01-01T12:10:30Z,When the signature was generated and signed.
threat,threat.indicator.file.code_signature.trusted,boolean,TRUE,Stores the trust status of the certificate chain.
threat,threat.indicator.file.code_signature.valid,boolean,TRUE,Boolean to capture if the digital signature is verified against the binary content.
threat,threat.indicator.file.created,date,,File creation time.
threat,threat.indicator.file.ctime,date,,Last time the file attributes or metadata changed.
threat,threat.indicator.file.device,keyword,sda,Device that is the source of the file.
threat,threat.indicator.file.directory,keyword,/home/alice,Directory where the file is located.
threat,threat.indicator.file.drive_letter,keyword,C,Drive letter where the file is located.
threat,threat.indicator.file.elf.architecture,keyword,x86-64,Machine architecture of the ELF file.
threat,threat.indicator.file.elf.byte_order,keyword,Little Endian,Byte sequence of ELF file.
threat,threat.indicator.file.elf.cpu_type,keyword,Intel,CPU type of the ELF file.
threat,threat.indicator.file.elf.creation_date,date,,Build or compile date.
threat,threat.indicator.file.elf.exports,flattened,,List of exported element names and types.
threat,threat.indicator.file.elf.go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491,A hash of the Go language imports in an ELF file.
threat,threat.indicator.file.elf.go_imports,flattened,,List of imported Go language element names and types.
threat,threat.indicator.file.elf.go_imports_names_entropy,long,,Shannon entropy calculation from the list of Go imports.
threat,threat.indicator.file.elf.go_imports_names_var_entropy,long,,Variance for Shannon entropy calculation from the list of Go imports.
threat,threat.indicator.file.elf.go_stripped,boolean,,Whether the file is a stripped or obfuscated Go executable.
threat,threat.indicator.file.elf.header.abi_version,keyword,,Version of the ELF Application Binary Interface (ABI).
threat,threat.indicator.file.elf.header.class,keyword,,Header class of the ELF file.
threat,threat.indicator.file.elf.header.data,keyword,,Data table of the ELF header.
threat,threat.indicator.file.elf.header.entrypoint,long,,Header entrypoint of the ELF file.
threat,threat.indicator.file.elf.header.object_version,keyword,,"""0x1"" for original ELF files."
threat,threat.indicator.file.elf.header.os_abi,keyword,,Application Binary Interface (ABI) of the Linux OS.
threat,threat.indicator.file.elf.header.type,keyword,,Header type of the ELF file.
threat,threat.indicator.file.elf.header.version,keyword,,Version of the ELF header.
threat,threat.indicator.file.elf.import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e,A hash of the imports in an ELF file.
threat,threat.indicator.file.elf.imports,flattened,,List of imported element names and types.
threat,threat.indicator.file.elf.imports_names_entropy,long,,Shannon entropy calculation from the list of imported element names and types.
threat,threat.indicator.file.elf.imports_names_var_entropy,long,,Variance for Shannon entropy calculation from the list of imported element names and types.
threat,threat.indicator.file.elf.sections,nested,,Section information of the ELF file.
threat,threat.indicator.file.elf.sections.chi2,long,,Chi-square probability distribution of the section.
threat,threat.indicator.file.elf.sections.entropy,long,,Shannon entropy calculation from the section.
threat,threat.indicator.file.elf.sections.flags,keyword,,ELF Section List flags.
threat,threat.indicator.file.elf.sections.name,keyword,,ELF Section List name.
threat,threat.indicator.file.elf.sections.physical_offset,keyword,,ELF Section List offset.
threat,threat.indicator.file.elf.sections.physical_size,long,,ELF Section List physical size.
threat,threat.indicator.file.elf.sections.type,keyword,,ELF Section List type.
threat,threat.indicator.file.elf.sections.var_entropy,long,,Variance for Shannon entropy calculation from the section.
threat,threat.indicator.file.elf.sections.virtual_address,long,,ELF Section List virtual address.
threat,threat.indicator.file.elf.sections.virtual_size,long,,ELF Section List virtual size.
threat,threat.indicator.file.elf.segments,nested,,ELF object segment list.
threat,threat.indicator.file.elf.segments.sections,keyword,,ELF object segment sections.
threat,threat.indicator.file.elf.segments.type,keyword,,ELF object segment type.
threat,threat.indicator.file.elf.shared_libraries,keyword,,List of shared libraries used by this ELF object.
threat,threat.indicator.file.elf.telfhash,keyword,,telfhash hash for ELF file.
threat,threat.indicator.file.extension,keyword,png,"File extension, excluding the leading dot."
threat,threat.indicator.file.fork_name,keyword,Zone.Identifer,A fork is additional data associated with a filesystem object.
threat,threat.indicator.file.gid,keyword,1001,Primary group ID (GID) of the file.
threat,threat.indicator.file.group,keyword,alice,Primary group name of the file.
threat,threat.indicator.file.hash.cdhash,keyword,3783b4052fd474dbe30676b45c329e7a6d44acd9,The Code Directory (CD) hash of an executable.
threat,threat.indicator.file.hash.md5,keyword,,MD5 hash.
threat,threat.indicator.file.hash.sha1,keyword,,SHA1 hash.
threat,threat.indicator.file.hash.sha256,keyword,,SHA256 hash.
threat,threat.indicator.file.hash.sha384,keyword,,SHA384 hash.
threat,threat.indicator.file.hash.sha512,keyword,,SHA512 hash.
threat,threat.indicator.file.hash.ssdeep,keyword,,SSDEEP hash.
threat,threat.indicator.file.hash.tlsh,keyword,,TLSH hash.
threat,threat.indicator.file.inode,keyword,256383,Inode representing the file in the filesystem.
threat,threat.indicator.file.mime_type,keyword,,"Media type of file, document, or arrangement of bytes."
threat,threat.indicator.file.mode,keyword,640,Mode of the file in octal representation.
threat,threat.indicator.file.mtime,date,,Last time the file content was modified.
threat,threat.indicator.file.name,keyword,example.png,"Name of the file including the extension, without the directory."
threat,threat.indicator.file.owner,keyword,alice,File owner's username.
threat,threat.indicator.file.path,keyword,/home/alice/example.png,"Full path to the file, including the file name."
threat,threat.indicator.file.path.text,match_only_text,/home/alice/example.png,"Full path to the file, including the file name."
threat,threat.indicator.file.pe.architecture,keyword,x64,CPU architecture target for the file.
threat,threat.indicator.file.pe.company,keyword,Microsoft Corporation,"Internal company name of the file, provided at compile-time."
threat,threat.indicator.file.pe.description,keyword,Paint,"Internal description of the file, provided at compile-time."
threat,threat.indicator.file.pe.file_version,keyword,6.3.9600.17415,Process name.
threat,threat.indicator.file.pe.go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491,A hash of the Go language imports in a PE file.
threat,threat.indicator.file.pe.go_imports,flattened,,List of imported Go language element names and types.
threat,threat.indicator.file.pe.go_imports_names_entropy,long,,Shannon entropy calculation from the list of Go imports.
threat,threat.indicator.file.pe.go_imports_names_var_entropy,long,,Variance for Shannon entropy calculation from the list of Go imports.
threat,threat.indicator.file.pe.go_stripped,boolean,,Whether the file is a stripped or obfuscated Go executable.
threat,threat.indicator.file.pe.imphash,keyword,0c6803c4e922103c4dca5963aad36ddf,A hash of the imports in a PE file.
threat,threat.indicator.file.pe.import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e,A hash of the imports in a PE file.
threat,threat.indicator.file.pe.imports,flattened,,List of imported element names and types.
threat,threat.indicator.file.pe.imports_names_entropy,long,,Shannon entropy calculation from the list of imported element names and types.
threat,threat.indicator.file.pe.imports_names_var_entropy,long,,Variance for Shannon entropy calculation from the list of imported element names and types.
threat,threat.indicator.file.pe.original_file_name,keyword,MSPAINT.EXE,"Internal name of the file, provided at compile-time."
threat,threat.indicator.file.pe.pehash,keyword,73ff189b63cd6be375a7ff25179a38d347651975,A hash of the PE header and data from one or more PE sections.
threat,threat.indicator.file.pe.product,keyword,Microsoft® Windows® Operating System,"Internal product name of the file, provided at compile-time."
threat,threat.indicator.file.pe.sections,nested,,Section information of the PE file.
threat,threat.indicator.file.pe.sections.entropy,long,,Shannon entropy calculation from the section.
threat,threat.indicator.file.pe.sections.name,keyword,,PE Section List name.
threat,threat.indicator.file.pe.sections.physical_size,long,,PE Section List physical size.
threat,threat.indicator.file.pe.sections.var_entropy,long,,Variance for Shannon entropy calculation from the section.
threat,threat.indicator.file.pe.sections.virtual_size,long,,PE Section List virtual size. This is always the same as `physical_size`.
threat,threat.indicator.file.size,long,16384,File size in bytes.
threat,threat.indicator.file.target_path,keyword,,Target path for symlinks.
threat,threat.indicator.file.target_path.text,match_only_text,,Target path for symlinks.
threat,threat.indicator.file.type,keyword,file,"File type (file, dir, or symlink)."
threat,threat.indicator.file.uid,keyword,1001,The user ID (UID) or security identifier (SID) of the file owner.
threat,threat.indicator.file.x509.alternative_names,keyword,*.elastic.co,List of subject alternative names (SAN).
threat,threat.indicator.file.x509.issuer.common_name,keyword,Example SHA2 High Assurance Server CA,List of common name (CN) of issuing certificate authority.
threat,threat.indicator.file.x509.issuer.country,keyword,US,List of country \(C) codes
threat,threat.indicator.file.x509.issuer.distinguished_name,keyword,"C=US, O=Example Inc, OU=www.example.com, CN=Example SHA2 High Assurance Server CA",Distinguished name (DN) of issuing certificate authority.
threat,threat.indicator.file.x509.issuer.locality,keyword,Mountain View,List of locality names (L)
threat,threat.indicator.file.x509.issuer.organization,keyword,Example Inc,List of organizations (O) of issuing certificate authority.
threat,threat.indicator.file.x509.issuer.organizational_unit,keyword,www.example.com,List of organizational units (OU) of issuing certificate authority.
threat,threat.indicator.file.x509.issuer.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
threat,threat.indicator.file.x509.not_after,date,2020-07-16T03:15:39Z,Time at which the certificate is no longer considered valid.
threat,threat.indicator.file.x509.not_before,date,2019-08-16T01:40:25Z,Time at which the certificate is first considered valid.
threat,threat.indicator.file.x509.public_key_algorithm,keyword,RSA,Algorithm used to generate the public key.
threat,threat.indicator.file.x509.public_key_curve,keyword,nistp521,The curve used by the elliptic curve public key algorithm. This is algorithm specific.
threat,threat.indicator.file.x509.public_key_exponent,long,65537,Exponent used to derive the public key. This is algorithm specific.
threat,threat.indicator.file.x509.public_key_size,long,2048,The size of the public key space in bits.
threat,threat.indicator.file.x509.serial_number,keyword,55FBB9C7DEBF09809D12CCAA,Unique serial number issued by the certificate authority.
threat,threat.indicator.file.x509.signature_algorithm,keyword,SHA256-RSA,Identifier for certificate signature algorithm.
threat,threat.indicator.file.x509.subject.common_name,keyword,shared.global.example.net,List of common names (CN) of subject.
threat,threat.indicator.file.x509.subject.country,keyword,US,List of country \(C) code
threat,threat.indicator.file.x509.subject.distinguished_name,keyword,"C=US, ST=California, L=San Francisco, O=Example, Inc., CN=shared.global.example.net",Distinguished name (DN) of the certificate subject entity.
threat,threat.indicator.file.x509.subject.locality,keyword,San Francisco,List of locality names (L)
threat,threat.indicator.file.x509.subject.organization,keyword,"Example, Inc.",List of organizations (O) of subject.
threat,threat.indicator.file.x509.subject.organizational_unit,keyword,,List of organizational units (OU) of subject.
threat,threat.indicator.file.x509.subject.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
threat,threat.indicator.file.x509.version_number,keyword,3,Version of x509 format.
threat,threat.indicator.first_seen,date,2020-11-05T17:25:47.000Z,Date/time indicator was first reported.
threat,threat.indicator.geo.city_name,keyword,Montreal,City name.
threat,threat.indicator.geo.continent_code,keyword,NA,Continent code.
threat,threat.indicator.geo.continent_name,keyword,North America,Name of the continent.
threat,threat.indicator.geo.country_iso_code,keyword,CA,Country ISO code.
threat,threat.indicator.geo.country_name,keyword,Canada,Country name.
threat,threat.indicator.geo.location,geo_point,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
threat,threat.indicator.geo.name,keyword,boston-dc,User-defined description of a location.
threat,threat.indicator.geo.postal_code,keyword,94040,Postal code.
threat,threat.indicator.geo.region_iso_code,keyword,CA-QC,Region ISO code.
threat,threat.indicator.geo.region_name,keyword,Quebec,Region name.
threat,threat.indicator.geo.timezone,keyword,America/Argentina/Buenos_Aires,Time zone.
threat,threat.indicator.id,keyword,[indicator--d7008e06-ab86-415a-9803-3c81ce2d3c37],ID of the indicator
threat,threat.indicator.ip,ip,1.2.3.4,Indicator IP address
threat,threat.indicator.last_seen,date,2020-11-05T17:25:47.000Z,Date/time indicator was last reported.
threat,threat.indicator.marking.tlp,keyword,CLEAR,Indicator TLP marking
threat,threat.indicator.marking.tlp_version,keyword,2,Indicator TLP version
threat,threat.indicator.modified_at,date,2020-11-05T17:25:47.000Z,Date/time indicator was last updated.
threat,threat.indicator.name,keyword,5.2.75.227,Indicator display name
threat,threat.indicator.port,long,443,Indicator port
threat,threat.indicator.provider,keyword,lrz_urlhaus,Indicator provider
threat,threat.indicator.reference,keyword,https://system.example.com/indicator/0001234,Indicator reference URL
threat,threat.indicator.registry.data.bytes,keyword,ZQBuAC0AVQBTAAAAZQBuAAAAAAA=,Original bytes written with base64 encoding.
threat,threat.indicator.registry.data.strings,wildcard,"[""C:\rta\red_ttp\bin\myapp.exe""]",List of strings representing what was written to the registry.
threat,threat.indicator.registry.data.type,keyword,REG_SZ,Standard registry type for encoding contents
threat,threat.indicator.registry.hive,keyword,HKLM,Abbreviated name for the hive.
threat,threat.indicator.registry.key,keyword,SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\winword.exe,Hive-relative path of keys.
threat,threat.indicator.registry.path,keyword,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\winword.exe\Debugger,"Full path, including hive, key and value"
threat,threat.indicator.registry.value,keyword,Debugger,Name of the value written.
threat,threat.indicator.scanner_stats,long,4,Scanner statistics
threat,threat.indicator.sightings,long,20,Number of times indicator observed
threat,threat.indicator.type,keyword,ipv4-addr,Type of indicator
threat,threat.indicator.url.domain,keyword,www.elastic.co,Domain of the url.
threat,threat.indicator.url.extension,keyword,png,"File extension from the request url, excluding the leading dot."
threat,threat.indicator.url.fragment,keyword,,Portion of the url after the `#`.
threat,threat.indicator.url.full,wildcard,https://www.elastic.co:443/search?q=elasticsearch#top,Full unparsed URL.
threat,threat.indicator.url.full.text,match_only_text,https://www.elastic.co:443/search?q=elasticsearch#top,Full unparsed URL.
threat,threat.indicator.url.original,wildcard,https://www.elastic.co:443/search?q=elasticsearch#top or /search?q=elasticsearch,Unmodified original url as seen in the event source.
threat,threat.indicator.url.original.text,match_only_text,https://www.elastic.co:443/search?q=elasticsearch#top or /search?q=elasticsearch,Unmodified original url as seen in the event source.
threat,threat.indicator.url.password,keyword,,Password of the request.
threat,threat.indicator.url.path,wildcard,,"Path of the request, such as ""/search""."
threat,threat.indicator.url.port,long,443,"Port of the request, such as 443."
threat,threat.indicator.url.query,keyword,,Query string of the request.
threat,threat.indicator.url.registered_domain,keyword,example.com,"The highest registered url domain, stripped of the subdomain."
threat,threat.indicator.url.scheme,keyword,https,Scheme of the url.
threat,threat.indicator.url.subdomain,keyword,east,The subdomain of the domain.
threat,threat.indicator.url.top_level_domain,keyword,co.uk,"The effective top level domain (com, org, net, co.uk)."
threat,threat.indicator.url.username,keyword,,Username of the request.
threat,threat.indicator.x509.alternative_names,keyword,*.elastic.co,List of subject alternative names (SAN).
threat,threat.indicator.x509.issuer.common_name,keyword,Example SHA2 High Assurance Server CA,List of common name (CN) of issuing certificate authority.
threat,threat.indicator.x509.issuer.country,keyword,US,List of country \(C) codes
threat,threat.indicator.x509.issuer.distinguished_name,keyword,"C=US, O=Example Inc, OU=www.example.com, CN=Example SHA2 High Assurance Server CA",Distinguished name (DN) of issuing certificate authority.
threat,threat.indicator.x509.issuer.locality,keyword,Mountain View,List of locality names (L)
threat,threat.indicator.x509.issuer.organization,keyword,Example Inc,List of organizations (O) of issuing certificate authority.
threat,threat.indicator.x509.issuer.organizational_unit,keyword,www.example.com,List of organizational units (OU) of issuing certificate authority.
threat,threat.indicator.x509.issuer.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
threat,threat.indicator.x509.not_after,date,2020-07-16T03:15:39Z,Time at which the certificate is no longer considered valid.
threat,threat.indicator.x509.not_before,date,2019-08-16T01:40:25Z,Time at which the certificate is first considered valid.
threat,threat.indicator.x509.public_key_algorithm,keyword,RSA,Algorithm used to generate the public key.
threat,threat.indicator.x509.public_key_curve,keyword,nistp521,The curve used by the elliptic curve public key algorithm. This is algorithm specific.
threat,threat.indicator.x509.public_key_exponent,long,65537,Exponent used to derive the public key. This is algorithm specific.
threat,threat.indicator.x509.public_key_size,long,2048,The size of the public key space in bits.
threat,threat.indicator.x509.serial_number,keyword,55FBB9C7DEBF09809D12CCAA,Unique serial number issued by the certificate authority.
threat,threat.indicator.x509.signature_algorithm,keyword,SHA256-RSA,Identifier for certificate signature algorithm.
threat,threat.indicator.x509.subject.common_name,keyword,shared.global.example.net,List of common names (CN) of subject.
threat,threat.indicator.x509.subject.country,keyword,US,List of country \(C) code
threat,threat.indicator.x509.subject.distinguished_name,keyword,"C=US, ST=California, L=San Francisco, O=Example, Inc., CN=shared.global.example.net",Distinguished name (DN) of the certificate subject entity.
threat,threat.indicator.x509.subject.locality,keyword,San Francisco,List of locality names (L)
threat,threat.indicator.x509.subject.organization,keyword,"Example, Inc.",List of organizations (O) of subject.
threat,threat.indicator.x509.subject.organizational_unit,keyword,,List of organizational units (OU) of subject.
threat,threat.indicator.x509.subject.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
threat,threat.indicator.x509.version_number,keyword,3,Version of x509 format.
threat,threat.software.alias,keyword,"[ ""X-Agent"" ]",Alias of the software
threat,threat.software.id,keyword,S0552,ID of the software
threat,threat.software.name,keyword,AdFind,Name of the software.
threat,threat.software.platforms,keyword,"[ ""Windows"" ]",Platforms of the software.
threat,threat.software.reference,keyword,https://attack.mitre.org/software/S0552/,Software reference URL.
threat,threat.software.type,keyword,Tool,Software type.
threat,threat.tactic.id,keyword,TA0002,Threat tactic id.
threat,threat.tactic.name,keyword,Execution,Threat tactic.
threat,threat.tactic.reference,keyword,https://attack.mitre.org/tactics/TA0002/,Threat tactic URL reference.
threat,threat.technique.id,keyword,T1059,Threat technique id.
threat,threat.technique.name,keyword,Command and Scripting Interpreter,Threat technique name.
threat,threat.technique.name.text,match_only_text,Command and Scripting Interpreter,Threat technique name.
threat,threat.technique.reference,keyword,https://attack.mitre.org/techniques/T1059/,Threat technique URL reference.
threat,threat.technique.subtechnique.id,keyword,T1059.001,Threat subtechnique id.
threat,threat.technique.subtechnique.name,keyword,PowerShell,Threat subtechnique name.
threat,threat.technique.subtechnique.name.text,match_only_text,PowerShell,Threat subtechnique name.
threat,threat.technique.subtechnique.reference,keyword,https://attack.mitre.org/techniques/T1059/001/,Threat subtechnique URL reference.
tls,tls.cipher,keyword,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,String indicating the cipher used during the current connection.
tls,tls.client.certificate,keyword,MII...,PEM-encoded stand-alone certificate offered by the client.
tls,tls.client.certificate_chain,keyword,"[""MII..."", ""MII...""]",Array of PEM-encoded certificates that make up the certificate chain offered by the client.
tls,tls.client.hash.md5,keyword,0F76C7F2C55BFD7D8E8B8F4BFBF0C9EC,Certificate fingerprint using the MD5 digest of DER-encoded version of certificate offered by the client.
tls,tls.client.hash.sha1,keyword,9E393D93138888D288266C2D915214D1D1CCEB2A,Certificate fingerprint using the SHA1 digest of DER-encoded version of certificate offered by the client.
tls,tls.client.hash.sha256,keyword,0687F666A054EF17A08E2F2162EAB4CBC0D265E1D7875BE74BF3C712CA92DAF0,Certificate fingerprint using the SHA256 digest of DER-encoded version of certificate offered by the client.
tls,tls.client.issuer,keyword,"CN=Example Root CA, OU=Infrastructure Team, DC=example, DC=com",Distinguished name of subject of the issuer of the x.509 certificate presented by the client.
tls,tls.client.ja3,keyword,d4e5b18d6b55c71272893221c96ba240,A hash that identifies clients based on how they perform an SSL/TLS handshake.
tls,tls.client.not_after,date,2021-01-01T00:00:00.000Z,Date/Time indicating when client certificate is no longer considered valid.
tls,tls.client.not_before,date,1970-01-01T00:00:00.000Z,Date/Time indicating when client certificate is first considered valid.
tls,tls.client.server_name,keyword,www.elastic.co,Hostname the client is trying to connect to. Also called the SNI.
tls,tls.client.subject,keyword,"CN=myclient, OU=Documentation Team, DC=example, DC=com",Distinguished name of subject of the x.509 certificate presented by the client.
tls,tls.client.supported_ciphers,keyword,"[""TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384"", ""TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384"", ""...""]",Array of ciphers offered by the client during the client hello.
tls,tls.client.x509.alternative_names,keyword,*.elastic.co,List of subject alternative names (SAN).
tls,tls.client.x509.issuer.common_name,keyword,Example SHA2 High Assurance Server CA,List of common name (CN) of issuing certificate authority.
tls,tls.client.x509.issuer.country,keyword,US,List of country \(C) codes
tls,tls.client.x509.issuer.distinguished_name,keyword,"C=US, O=Example Inc, OU=www.example.com, CN=Example SHA2 High Assurance Server CA",Distinguished name (DN) of issuing certificate authority.
tls,tls.client.x509.issuer.locality,keyword,Mountain View,List of locality names (L)
tls,tls.client.x509.issuer.organization,keyword,Example Inc,List of organizations (O) of issuing certificate authority.
tls,tls.client.x509.issuer.organizational_unit,keyword,www.example.com,List of organizational units (OU) of issuing certificate authority.
tls,tls.client.x509.issuer.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
tls,tls.client.x509.not_after,date,2020-07-16T03:15:39Z,Time at which the certificate is no longer considered valid.
tls,tls.client.x509.not_before,date,2019-08-16T01:40:25Z,Time at which the certificate is first considered valid.
tls,tls.client.x509.public_key_algorithm,keyword,RSA,Algorithm used to generate the public key.
tls,tls.client.x509.public_key_curve,keyword,nistp521,The curve used by the elliptic curve public key algorithm. This is algorithm specific.
tls,tls.client.x509.public_key_exponent,long,65537,Exponent used to derive the public key. This is algorithm specific.
tls,tls.client.x509.public_key_size,long,2048,The size of the public key space in bits.
tls,tls.client.x509.serial_number,keyword,55FBB9C7DEBF09809D12CCAA,Unique serial number issued by the certificate authority.
tls,tls.client.x509.signature_algorithm,keyword,SHA256-RSA,Identifier for certificate signature algorithm.
tls,tls.client.x509.subject.common_name,keyword,shared.global.example.net,List of common names (CN) of subject.
tls,tls.client.x509.subject.country,keyword,US,List of country \(C) code
tls,tls.client.x509.subject.distinguished_name,keyword,"C=US, ST=California, L=San Francisco, O=Example, Inc., CN=shared.global.example.net",Distinguished name (DN) of the certificate subject entity.
tls,tls.client.x509.subject.locality,keyword,San Francisco,List of locality names (L)
tls,tls.client.x509.subject.organization,keyword,"Example, Inc.",List of organizations (O) of subject.
tls,tls.client.x509.subject.organizational_unit,keyword,,List of organizational units (OU) of subject.
tls,tls.client.x509.subject.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
tls,tls.client.x509.version_number,keyword,3,Version of x509 format.
tls,tls.curve,keyword,secp256r1,"String indicating the curve used for the given cipher, when applicable."
tls,tls.established,boolean,,Boolean flag indicating if the TLS negotiation was successful and transitioned to an encrypted tunnel.
tls,tls.next_protocol,keyword,http/1.1,String indicating the protocol being tunneled.
tls,tls.resumed,boolean,,Boolean flag indicating if this TLS connection was resumed from an existing TLS negotiation.
tls,tls.server.certificate,keyword,MII...,PEM-encoded stand-alone certificate offered by the server.
tls,tls.server.certificate_chain,keyword,"[""MII..."", ""MII...""]",Array of PEM-encoded certificates that make up the certificate chain offered by the server.
tls,tls.server.hash.md5,keyword,0F76C7F2C55BFD7D8E8B8F4BFBF0C9EC,Certificate fingerprint using the MD5 digest of DER-encoded version of certificate offered by the server.
tls,tls.server.hash.sha1,keyword,9E393D93138888D288266C2D915214D1D1CCEB2A,Certificate fingerprint using the SHA1 digest of DER-encoded version of certificate offered by the server.
tls,tls.server.hash.sha256,keyword,0687F666A054EF17A08E2F2162EAB4CBC0D265E1D7875BE74BF3C712CA92DAF0,Certificate fingerprint using the SHA256 digest of DER-encoded version of certificate offered by the server.
tls,tls.server.issuer,keyword,"CN=Example Root CA, OU=Infrastructure Team, DC=example, DC=com",Subject of the issuer of the x.509 certificate presented by the server.
tls,tls.server.ja3s,keyword,394441ab65754e2207b1e1b457b3641d,A hash that identifies servers based on how they perform an SSL/TLS handshake.
tls,tls.server.not_after,date,2021-01-01T00:00:00.000Z,Timestamp indicating when server certificate is no longer considered valid.
tls,tls.server.not_before,date,1970-01-01T00:00:00.000Z,Timestamp indicating when server certificate is first considered valid.
tls,tls.server.subject,keyword,"CN=www.example.com, OU=Infrastructure Team, DC=example, DC=com",Subject of the x.509 certificate presented by the server.
tls,tls.server.x509.alternative_names,keyword,*.elastic.co,List of subject alternative names (SAN).
tls,tls.server.x509.issuer.common_name,keyword,Example SHA2 High Assurance Server CA,List of common name (CN) of issuing certificate authority.
tls,tls.server.x509.issuer.country,keyword,US,List of country \(C) codes
tls,tls.server.x509.issuer.distinguished_name,keyword,"C=US, O=Example Inc, OU=www.example.com, CN=Example SHA2 High Assurance Server CA",Distinguished name (DN) of issuing certificate authority.
tls,tls.server.x509.issuer.locality,keyword,Mountain View,List of locality names (L)
